Home,Away,HomeScore,AwayScore,Stage,Date
Mexico,South Africa,,,Group,12 Jun 2026
South Korea,Czechia,,,Group,12 Jun 2026
Canada,Bosnia,,,Group,13 Jun 2026
USA,Paraguay,,,Group,13 Jun 2026
Qatar,Switzerland,,,Group,14 Jun 2026
Brazil,Morocco,,,Group,14 Jun 2026
Haiti,Scotland,,,Group,14 Jun 2026
Australia,Türkiye,,,Group,14 Jun 2026
Germany,Curaçao,,,Group,15 Jun 2026
Netherlands,Japan,,,Group,15 Jun 2026
Ivory Coast,Ecuador,,,Group,15 Jun 2026
Sweden,Tunisia,,,Group,15 Jun 2026
Spain,Cape Verde,,,Group,16 Jun 2026
Belgium,Egypt,,,Group,16 Jun 2026
Saudi Arabia,Uruguay,,,Group,16 Jun 2026
Iran,New Zealand,,,Group,16 Jun 2026
France,Senegal,,,Group,17 Jun 2026
Iraq,Norway,,,Group,17 Jun 2026
Argentina,Algeria,,,Group,17 Jun 2026
Austria,Jordan,,,Group,17 Jun 2026
Portugal,DR Congo,,,Group,18 Jun 2026
England,Croatia,,,Group,18 Jun 2026
Ghana,Panama,,,Group,18 Jun 2026
Uzbekistan,Colombia,,,Group,18 Jun 2026
Czechia,South Africa,,,Group,19 Jun 2026
Switzerland,Bosnia,,,Group,19 Jun 2026
Canada,Qatar,,,Group,19 Jun 2026
Mexico,South Korea,,,Group,19 Jun 2026
USA,Australia,,,Group,20 Jun 2026
Scotland,Morocco,,,Group,20 Jun 2026
Brazil,Haiti,,,Group,20 Jun 2026
Türkiye,Paraguay,,,Group,20 Jun 2026
Netherlands,Sweden,,,Group,21 Jun 2026
Germany,Ivory Coast,,,Group,21 Jun 2026
Ecuador,Curaçao,,,Group,21 Jun 2026
Tunisia,Japan,,,Group,21 Jun 2026
Spain,Saudi Arabia,,,Group,22 Jun 2026
Belgium,Iran,,,Group,22 Jun 2026
Uruguay,Cape Verde,,,Group,22 Jun 2026
New Zealand,Egypt,,,Group,22 Jun 2026
Argentina,Austria,,,Group,23 Jun 2026
France,Iraq,,,Group,23 Jun 2026
Norway,Senegal,,,Group,23 Jun 2026
Jordan,Algeria,,,Group,23 Jun 2026
Portugal,Uzbekistan,,,Group,24 Jun 2026
England,Ghana,,,Group,24 Jun 2026
Panama,Croatia,,,Group,24 Jun 2026
Colombia,DR Congo,,,Group,24 Jun 2026
Switzerland,Canada,,,Group,25 Jun 2026
Bosnia,Qatar,,,Group,25 Jun 2026
Scotland,Brazil,,,Group,25 Jun 2026
Morocco,Haiti,,,Group,25 Jun 2026
Czechia,Mexico,,,Group,25 Jun 2026
South Africa,South Korea,,,Group,25 Jun 2026
Curaçao,Ivory Coast,,,Group,26 Jun 2026
Ecuador,Germany,,,Group,26 Jun 2026
Japan,Sweden,,,Group,26 Jun 2026
Tunisia,Netherlands,,,Group,26 Jun 2026
Türkiye,USA,,,Group,26 Jun 2026
Paraguay,Australia,,,Group,26 Jun 2026
Norway,France,,,Group,27 Jun 2026
Senegal,Iraq,,,Group,27 Jun 2026
Cape Verde,Saudi Arabia,,,Group,27 Jun 2026
Uruguay,Spain,,,Group,27 Jun 2026
Egypt,Iran,,,Group,27 Jun 2026
New Zealand,Belgium,,,Group,27 Jun 2026
Panama,England,,,Group,28 Jun 2026
Croatia,Ghana,,,Group,28 Jun 2026
Colombia,Portugal,,,Group,28 Jun 2026
DR Congo,Uzbekistan,,,Group,28 Jun 2026
Algeria,Austria,,,Group,28 Jun 2026
Jordan,Argentina,,,Group,28 Jun 2026
