Home,Away,HomeScore,AwayScore,Stage,Date
Mexico,South Africa,2,0,Group,2026-06-11
South Korea,Czechia,2,1,Group,2026-06-12
Canada,Bosnia,1,1,Group,2026-06-12
USA,Paraguay,4,1,Group,2026-06-13
Qatar,Switzerland,1,1,Group,2026-06-13
Brazil,Morocco,1,1,Group,2026-06-13
Haiti,Scotland,0,1,Group,2026-06-14
Australia,Türkiye,2,0,Group,2026-06-14
Germany,Curaçao,7,1,Group,2026-06-14
Netherlands,Japan,2,2,Group,2026-06-14
Ivory Coast,Ecuador,1,0,Group,2026-06-14
Sweden,Tunisia,5,1,Group,2026-06-15
Spain,Cape Verde,0,0,Group,2026-06-15
Belgium,Egypt,1,1,Group,2026-06-15
Saudi Arabia,Uruguay,1,1,Group,2026-06-15
Iran,New Zealand,2,2,Group,2026-06-16
France,Senegal,3,1,Group,2026-06-16
Iraq,Norway,1,4,Group,2026-06-16
Argentina,Algeria,3,0,Group,2026-06-17
Austria,Jordan,3,1,Group,2026-06-17
Portugal,DR Congo,1,1,Group,2026-06-17
England,Croatia,4,2,Group,2026-06-17
Ghana,Panama,1,0,Group,2026-06-17
Uzbekistan,Colombia,1,3,Group,2026-06-18
Czechia,South Africa,1,1,Group,2026-06-18
Switzerland,Bosnia,4,1,Group,2026-06-18
Canada,Qatar,6,0,Group,2026-06-18
Mexico,South Korea,1,0,Group,2026-06-19
USA,Australia,2,0,Group,2026-06-19
Scotland,Morocco,0,1,Group,2026-06-19
Brazil,Haiti,3,0,Group,2026-06-20
Türkiye,Paraguay,0,1,Group,2026-06-20
Netherlands,Sweden,5,1,Group,2026-06-20
Germany,Ivory Coast,2,1,Group,2026-06-20
Ecuador,Curaçao,0,0,Group,2026-06-21
Tunisia,Japan,0,4,Group,2026-06-21
Spain,Saudi Arabia,4,0,Group,2026-06-21
Belgium,Iran,0,0,Group,2026-06-21
Uruguay,Cape Verde,2,2,Group,2026-06-21
New Zealand,Egypt,1,3,Group,2026-06-22
Argentina,Austria,2,0,Group,2026-06-22
France,Iraq,3,0,Group,2026-06-22
Norway,Senegal,3,2,Group,2026-06-23
Jordan,Algeria,1,2,Group,2026-06-23
Portugal,Uzbekistan,5,0,Group,2026-06-23
England,Ghana,0,0,Group,2026-06-23
Panama,Croatia,0,1,Group,2026-06-23
Colombia,DR Congo,1,0,Group,2026-06-24
Switzerland,Canada,2,1,Group,2026-06-24
Bosnia,Qatar,3,1,Group,2026-06-24
Morocco,Haiti,4,2,Group,2026-06-24
Scotland,Brazil,0,3,Group,2026-06-24
Czechia,Mexico,0,3,Group,2026-06-25
South Africa,South Korea,1,0,Group,2026-06-25
Ecuador,Germany,2,1,Group,2026-06-25
Curaçao,Ivory Coast,0,2,Group,2026-06-25
Tunisia,Netherlands,1,3,Group,2026-06-25
Japan,Sweden,1,1,Group,2026-06-25
Türkiye,USA,3,2,Group,2026-06-26
Paraguay,Australia,0,0,Group,2026-06-26
Norway,France,1,4,Group,2026-06-26
Senegal,Iraq,5,0,Group,2026-06-26
Uruguay,Spain,0,1,Group,2026-06-27
Cape Verde,Saudi Arabia,0,0,Group,2026-06-27
New Zealand,Belgium,1,5,Group,2026-06-27
Egypt,Iran,1,1,Group,2026-06-27
Panama,England,0,2,Group,2026-06-27
Croatia,Ghana,2,1,Group,2026-06-27
Colombia,Portugal,0,0,Group,2026-06-27
DR Congo,Uzbekistan,3,1,Group,2026-06-27
Jordan,Argentina,1,3,Group,2026-06-28
Algeria,Austria,3,3,Group,2026-06-28
South Africa,Canada,0,1,R32,2026-06-28
Brazil,Japan,2,1,R32,2026-06-29
Germany,Paraguay,4,5,R32,2026-06-29
Netherlands,Morocco,3,4,R32,2026-06-30
Ivory Coast,Norway,1,2,R32,2026-06-30
France,Sweden,3,0,R32,2026-06-30
Mexico,Ecuador,2,0,R32,2026-07-01
England,DR Congo,2,1,R32,2026-07-01
Belgium,Senegal,3,2,R32,2026-07-01
USA,Bosnia,2,0,R32,2026-07-02
Spain,Austria,3,0,R32,2026-07-02
Portugal,Croatia,2,1,R32,2026-07-02
Switzerland,Algeria,2,0,R32,2026-07-03
Australia,Egypt,3,5,R32,2026-07-03
Argentina,Cape Verde,3,2,R32,2026-07-03
Colombia,Ghana,1,0,R32,2026-07-04
Canada,Morocco,0,3,R16,2026-07-04
Paraguay,France,0,1,R16,2026-07-04
Brazil,Norway,1,2,R16,2026-07-05
Portugal,Spain,0,1,R16,2026-07-06
USA,Belgium,1,4,R16,2026-07-07
Argentina,Egypt,3,2,R16,2026-07-07
Switzerland,Colombia,4,3,R16,2026-07-07
France,Morocco,2,0,QF,2026-07-09
Spain,Belgium,2,1,QF,2026-07-10
Norway,England,1,2,QF,2026-07-11
Argentina,Switzerland,3,1,QF,2026-07-12
