Date,SGT Time,Match,Stage,No
12 Jun 2026,03:00 AM,Mexico vs South Africa,Group A,
12 Jun 2026,10:00 AM,South Korea vs Czechia,Group A,
13 Jun 2026,03:00 AM,Canada vs Bosnia,Group B,
13 Jun 2026,09:00 AM,USA vs Paraguay,Group D,
14 Jun 2026,03:00 AM,Qatar vs Switzerland,Group B,
14 Jun 2026,06:00 AM,Brazil vs Morocco,Group C,
14 Jun 2026,09:00 AM,Haiti vs Scotland,Group C,
14 Jun 2026,12:00 PM,Australia vs Türkiye,Group D,
15 Jun 2026,01:00 AM,Germany vs Curaçao,Group E,
15 Jun 2026,04:00 AM,Netherlands vs Japan,Group F,
15 Jun 2026,07:00 AM,Ivory Coast vs Ecuador,Group E,
15 Jun 2026,10:00 AM,Sweden vs Tunisia,Group F,
16 Jun 2026,12:00 AM,Spain vs Cape Verde,Group H,
16 Jun 2026,03:00 AM,Belgium vs Egypt,Group G,
16 Jun 2026,06:00 AM,Saudi Arabia vs Uruguay,Group H,
16 Jun 2026,09:00 AM,Iran vs New Zealand,Group G,
17 Jun 2026,03:00 AM,France vs Senegal,Group I,
17 Jun 2026,06:00 AM,Iraq vs Norway,Group I,
17 Jun 2026,09:00 AM,Argentina vs Algeria,Group J,
17 Jun 2026,12:00 PM,Austria vs Jordan,Group J,
18 Jun 2026,01:00 AM,Portugal vs DR Congo,Group K,
18 Jun 2026,04:00 AM,England vs Croatia,Group L,
18 Jun 2026,07:00 AM,Ghana vs Panama,Group L,
18 Jun 2026,10:00 AM,Uzbekistan vs Colombia,Group K,
19 Jun 2026,12:00 AM,Czechia vs South Africa,Group A,
19 Jun 2026,03:00 AM,Switzerland vs Bosnia,Group B,
19 Jun 2026,06:00 AM,Canada vs Qatar,Group B,
19 Jun 2026,09:00 AM,Mexico vs South Korea,Group A,
20 Jun 2026,03:00 AM,USA vs Australia,Group D,
20 Jun 2026,06:00 AM,Scotland vs Morocco,Group C,
20 Jun 2026,08:30 AM,Brazil vs Haiti,Group C,
20 Jun 2026,11:00 AM,Türkiye vs Paraguay,Group D,
21 Jun 2026,01:00 AM,Netherlands vs Sweden,Group F,
21 Jun 2026,04:00 AM,Germany vs Ivory Coast,Group E,
21 Jun 2026,08:00 AM,Ecuador vs Curaçao,Group E,
21 Jun 2026,12:00 PM,Tunisia vs Japan,Group F,
22 Jun 2026,12:00 AM,Spain vs Saudi Arabia,Group H,
22 Jun 2026,03:00 AM,Belgium vs Iran,Group G,
22 Jun 2026,06:00 AM,Uruguay vs Cape Verde,Group H,
22 Jun 2026,09:00 AM,New Zealand vs Egypt,Group G,
23 Jun 2026,01:00 AM,Argentina vs Austria,Group J,
23 Jun 2026,05:00 AM,France vs Iraq,Group I,
23 Jun 2026,08:00 AM,Norway vs Senegal,Group I,
23 Jun 2026,11:00 AM,Jordan vs Algeria,Group J,
24 Jun 2026,01:00 AM,Portugal vs Uzbekistan,Group K,
24 Jun 2026,04:00 AM,England vs Ghana,Group L,
24 Jun 2026,07:00 AM,Panama vs Croatia,Group L,
24 Jun 2026,10:00 AM,Colombia vs DR Congo,Group K,
25 Jun 2026,03:00 AM,Switzerland vs Canada,Group B,
25 Jun 2026,03:00 AM,Bosnia vs Qatar,Group B,
25 Jun 2026,06:00 AM,Scotland vs Brazil,Group C,
25 Jun 2026,06:00 AM,Morocco vs Haiti,Group C,
25 Jun 2026,09:00 AM,Czechia vs Mexico,Group A,
25 Jun 2026,09:00 AM,South Africa vs South Korea,Group A,
26 Jun 2026,04:00 AM,Curaçao vs Ivory Coast,Group E,
26 Jun 2026,04:00 AM,Ecuador vs Germany,Group E,
26 Jun 2026,07:00 AM,Japan vs Sweden,Group F,
26 Jun 2026,07:00 AM,Tunisia vs Netherlands,Group F,
26 Jun 2026,10:00 AM,Türkiye vs USA,Group D,
26 Jun 2026,10:00 AM,Paraguay vs Australia,Group D,
27 Jun 2026,03:00 AM,Norway vs France,Group I,
27 Jun 2026,03:00 AM,Senegal vs Iraq,Group I,
27 Jun 2026,08:00 AM,Cape Verde vs Saudi Arabia,Group H,
27 Jun 2026,08:00 AM,Uruguay vs Spain,Group H,
27 Jun 2026,11:00 AM,Egypt vs Iran,Group G,
27 Jun 2026,11:00 AM,New Zealand vs Belgium,Group G,
28 Jun 2026,05:00 AM,Panama vs England,Group L,
